date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:00	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%22592b3107-1a%22	http://preview.uideck.com/robots.txt		(from )
11:25:01	23527/23527	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2015:41:14%20GMT	http://preview.uideck.com/items/inspire-pro/default/	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/index.html	(from )
11:25:02	140930/140930	---MCZ	200	added ('OK')	text/css	etag:W/%225beee3c1-22682%22	http://preview.uideck.com/items/inspire-pro/default/assets/css/bootstrap.min.css	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/css/bootstrap.min.css	(from http://preview.uideck.com/items/inspire-pro/default/)
11:25:02	12093/12093	---MCZ	200	added ('OK')	text/css	etag:W/%225beee4ee-39be%22	http://preview.uideck.com/items/inspire-pro/default/assets/fonts/line-icons.css	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/fonts/line-icons.css	(from http://preview.uideck.com/items/inspire-pro/default/)
11:25:02	426/426	---MCZ	200	added ('OK')	text/css	etag:W/%225beee490-1b1%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/morris/morris.css	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/morris/morris.css	(from http://preview.uideck.com/items/inspire-pro/default/)
11:25:03	44546/44546	---MCZ	200	added ('OK')	text/css	etag:W/%225beee3c3-d2f0%22	http://preview.uideck.com/items/inspire-pro/default/assets/css/main.css	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/css/main.css	(from http://preview.uideck.com/items/inspire-pro/default/)
11:25:03	3359/3359	---MCZ	200	added ('OK')	text/css	etag:W/%225beee3c4-1235%22	http://preview.uideck.com/items/inspire-pro/default/assets/css/responsive.css	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/css/responsive.css	(from http://preview.uideck.com/items/inspire-pro/default/)
11:25:04	23526/23526	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Nov%202018%2015:41:14%20GMT	http://preview.uideck.com/items/inspire-pro/default/index.html	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/index-2.html	(from http://preview.uideck.com/items/inspire-pro/default/)
11:25:04	18264/18264	---M--	200	added ('OK')	image/png	etag:%225beee4ea-4758%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/logo.png	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/logo.png	(from http://preview.uideck.com/items/inspire-pro/default/)
11:25:04	1117/1117	---M--	200	added ('OK')	image/png	etag:%225beee4ec-45d%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/logo-text.png	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/logo-text.png	(from http://preview.uideck.com/items/inspire-pro/default/)
